Player,Diff,KD,Rating
Spainalex,+1567,1.06,1.03
UkraineAiyvaN,+578,1.05,1.03
DenmarkFessor,+323,1.04,1.03
Mongoliadobu,+650,1.04,1.03
Denmarksjuush,+1073,1.06,1.03
Kazakhstanbuster,+1881,1.08,1.03
Germanykressy,+1167,1.06,1.03
ChinacaptainMo,+590,1.04,1.03
Germanys1n,+467,1.07,1.03
GermanystfN,+1442,1.06,1.03
ArgentinaJonY,+344,1.05,1.03
Hungarykolor,+432,1.04,1.03
Denmarkrefrezh,+1106,1.06,1.03
Chinashuadapai,+492,1.05,1.03
Denmarkaizy,+1187,1.04,1.03
Swedendennis,+1136,1.04,1.03
UnitedStatesfood,+380,1.05,1.03
RussiaPatsi,+294,1.03,1.02
Norwayrain,+869,1.03,1.02
Finlandhoody,+402,1.04,1.02
FranceLucky,+1517,1.06,1.02
PortugalJUST,+868,1.05,1.02
BelarusCyberFocus,+320,1.04,1.02
Brazilkai,+415,1.05,1.02
BrazilMaluk3,+1401,1.07,1.02
SerbiaDiMKE,+471,1.04,1.02
TurkeyimoRR,+226,1.01,1.02
BulgariaKalubeR,+391,1.04,1.02
RussiaForester,+1231,1.05,1.02
PolandpashaBiceps,+989,1.03,1.02
Kazakhstansmiley,+632,1.08,1.02
UnitedKingdomThomas,+921,1.05,1.02
Finlandjuho,+128,1.01,1.02
Denmarkdragonfly,+502,1.06,1.02
FranceAMANEK,+1265,1.06,1.02
Swedenb0denmaster,+810,1.06,1.02
Brazilfnx,+667,1.06,1.02
UnitedStatesjdm64,+825,1.06,1.02
Russiaglowiing,+257,1.02,1.02
RussiaNorwi,+493,1.05,1.02
SlovakiaMonttY,+338,1.04,1.02
RussiaFANAT,+453,1.06,1.02
Swedendisco,+1094,1.05,1.02
MontenegroMaden,+301,1.02,1.02
Ukrainebondik,+1456,1.06,1.02
Polandmouz,+1738,1.06,1.02
ThailandqqGOD,+280,1.03,1.02
EstoniaHS,+390,1.02,1.02
RussiaRaijin,+360,1.05,1.02
AustraliaMoeycQ,+410,1.04,1.02
DenmarkZyphon,+506,1.05,1.02
Russiaspaze,+89,1.01,1.02
Bulgariav1c7oR,+1181,1.04,1.02
UnitedStatesVoltage,+571,1.08,1.02
Polandjedqr,+808,1.05,1.02
UnitedStatesAce,+570,1.08,1.02
BrazilTuurtle,+695,1.04,1.02
PolandGoofy,+577,1.02,1.02
Kazakhstandimasick,+447,1.04,1.02
Russiaflamie,+1247,1.04,1.02
RomaniaBlytz,+228,1.02,1.02
Slovakiaqueztone,+235,1.02,1.02
BelarusROBO,+628,1.05,1.02
Canadasteel,+261,1.02,1.02
Finlandspargo,+455,1.04,1.02
EstoniaJyo,+1199,1.05,1.02
SerbiaLETN1,+1164,1.06,1.02
DenmarkTENZKI,+1333,1.05,1.02
Portugalfox,+523,1.03,1.02
UnitedStatesn0thing,+484,1.03,1.02
PolandKylar,+615,1.04,1.02
Denmarkniko,+964,1.04,1.02
Uruguaymax,+564,1.05,1.02
UnitedStatesroca,+195,1.02,1.02
UnitedStatesSpongey,+1012,1.07,1.02
NetherlandschrisJ,+1107,1.04,1.02
PolandMarkoś,+856,1.06,1.02
Australiaflickz,+352,1.05,1.01
FinlandsLowi,+574,1.02,1.01
UnitedStatesxCeeD,+174,1.02,1.01
Bulgariamar,+402,1.03,1.01
FranceNBK-,+957,1.02,1.01
RussiaPolt,+537,1.05,1.01
SwedenLekr0,+834,1.03,1.01
UnitedStatesdesi,+99,1.01,1.01
Denmarkes3tag,+817,1.03,1.01
SpainEasTor,+378,1.04,1.01
UnitedStatesmitch,+632,1.05,1.01
Argentina1962,+9,1.00,1.01
UnitedStatescxzi,-30,1.00,1.01
Indonesiaroseau,+84,1.01,1.01
CanadaFaNg,+453,1.03,1.01
SwedenMaikelele,+941,1.05,1.01
AustraliaNoobster,+203,1.02,1.01
ChinaViva,+480,1.05,1.01
Portugalobj,+423,1.06,1.01
UnitedKingdomvolt,+238,1.03,1.01
BraziliDk,+603,1.03,1.01
Estoniashokz,+422,1.03,1.01
CzechRepublicSHOCK,+587,1.03,1.01
BulgariaspyleadeR,+83,1.00,1.01
Polandbyali,+1280,1.04,1.01
UnitedStatesfl0m,+485,1.04,1.01
Portugalstadodo,+753,1.05,1.01
Brazilpesadelo,+110,1.01,1.01
UnitedStatesSnakes,+312,1.04,1.01
Swedenhampus,+214,1.01,1.01
DenmarkXyp9x,+2146,1.06,1.01
AustraliaJinxx,+305,1.04,1.01
Polandszejn,+180,1.02,1.01
Germanymirbit,+926,1.06,1.01
Swedenkreaz,+591,1.04,1.01
UnitedStatesreck,+115,1.01,1.01
SwedenPlopski,+753,1.04,1.01
DenmarkFriis,+747,1.05,1.01
